n,theory_size,theory_clos_size,systematicity,systematicity_type,gamma,alpha,beta
7,1,1,0.9099999999999999,sys_mm,0.7,,
7,1,2,0.9775,sys_mm,0.7,,
7,1,3,0.99,sys_mm,0.7,,
7,1,4,0.994375,sys_mm,0.7,,
7,1,5,0.9964,sys_mm,0.7,,
7,1,6,0.9975,sys_mm,0.7,,
7,1,7,0.9981632653061224,sys_mm,0.7,,
7,2,2,0.5774999999999999,sys_mm,0.7,,
7,2,3,0.8122222222222222,sys_mm,0.7,,
7,2,4,0.894375,sys_mm,0.7,,
7,2,5,0.9324,sys_mm,0.7,,
7,2,6,0.9530555555555555,sys_mm,0.7,,
7,2,7,0.9655102040816327,sys_mm,0.7,,
7,3,3,0.41222222222222227,sys_mm,0.7,,
7,3,4,0.669375,sys_mm,0.7,,
7,3,5,0.7884,sys_mm,0.7,,
7,3,6,0.8530555555555556,sys_mm,0.7,,
7,3,7,0.8920408163265307,sys_mm,0.7,,
7,4,4,0.3193750000000001,sys_mm,0.7,,
7,4,5,0.5644000000000001,sys_mm,0.7,,
7,4,6,0.6975,sys_mm,0.7,,
7,4,7,0.7777551020408163,sys_mm,0.7,,
7,5,5,0.2604000000000001,sys_mm,0.7,,
7,5,6,0.48638888888888887,sys_mm,0.7,,
7,5,7,0.6226530612244898,sys_mm,0.7,,
7,6,6,0.21972222222222226,sys_mm,0.7,,
7,6,7,0.42673469387755103,sys_mm,0.7,,
7,7,7,0.18999999999999995,sys_mm,0.7,,
7,1,1,0.99,sys_mm,0.9,,
7,1,2,0.9975,sys_mm,0.9,,
7,1,3,0.9988888888888889,sys_mm,0.9,,
7,1,4,0.999375,sys_mm,0.9,,
7,1,5,0.9996,sys_mm,0.9,,
7,1,6,0.9997222222222222,sys_mm,0.9,,
7,1,7,0.9997959183673469,sys_mm,0.9,,
7,2,2,0.6975,sys_mm,0.9,,
7,2,3,0.8655555555555555,sys_mm,0.9,,
7,2,4,0.924375,sys_mm,0.9,,
7,2,5,0.9516,sys_mm,0.9,,
7,2,6,0.9663888888888889,sys_mm,0.9,,
7,2,7,0.9753061224489796,sys_mm,0.9,,
7,3,3,0.5099999999999999,sys_mm,0.9,,
7,3,4,0.724375,sys_mm,0.9,,
7,3,5,0.8236,sys_mm,0.9,,
7,3,6,0.8775,sys_mm,0.9,,
7,3,7,0.91,sys_mm,0.9,,
7,4,4,0.3993749999999999,sys_mm,0.9,,
7,4,5,0.6155999999999999,sys_mm,0.9,,
7,4,6,0.7330555555555556,sys_mm,0.9,,
7,4,7,0.8038775510204081,sys_mm,0.9,,
7,5,5,0.3276000000000001,sys_mm,0.9,,
7,5,6,0.5330555555555556,sys_mm,0.9,,
7,5,7,0.6569387755102042,sys_mm,0.9,,
7,6,6,0.2775000000000001,sys_mm,0.9,,
7,6,7,0.46918367346938783,sys_mm,0.9,,
7,7,7,0.2406122448979594,sys_mm,0.9,,
7,1,1,0.9974999999999999,sys_mm,0.95,,
7,1,2,0.999375,sys_mm,0.95,,
7,1,3,0.9997222222222222,sys_mm,0.95,,
7,1,4,0.99984375,sys_mm,0.95,,
7,1,5,0.9999,sys_mm,0.95,,
7,1,6,0.9999305555555555,sys_mm,0.95,,
7,1,7,0.9999489795918367,sys_mm,0.95,,
7,2,2,0.724375,sys_mm,0.95,,
7,2,3,0.8775,sys_mm,0.95,,
7,2,4,0.93109375,sys_mm,0.95,,
7,2,5,0.9559,sys_mm,0.95,,
7,2,6,0.969375,sys_mm,0.95,,
7,2,7,0.9775,sys_mm,0.95,,
7,3,3,0.5330555555555556,sys_mm,0.95,,
