,tau,theory,theory_size,theory_clos_size,n,sig_theory,sig_tau,sig_restr,sig_restr_theory,sys_grec,sigma_content
388,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 2, -6}",3,6,7,2,7,5,2,0.1111111111111111,0.3333333333333333
389,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -6, -7}",3,6,7,2,7,5,2,0.1111111111111111,0.3333333333333333
390,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, -6}",3,4,7,6,7,7,6,0.05555555555555555,0.16666666666666666
391,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{3, -6, 2}",3,6,7,2,7,5,2,0.1111111111111111,0.3333333333333333
392,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -6, 3}",3,6,7,2,7,5,2,0.1111111111111111,0.3333333333333333
393,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 3}",3,6,7,2,7,5,2,0.1111111111111111,0.3333333333333333
394,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 2, 5}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
395,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 5, -1}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
396,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, -1}",3,7,7,1,7,7,1,0.15596416233653357,0.4678924870096007
397,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 2, 4}",3,4,7,2,7,3,2,0.05555555555555555,0.16666666666666666
398,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 4, -7}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
399,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2, 4}",3,5,7,3,7,4,3,0.05555555555555555,0.16666666666666666
400,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 4, -1}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
401,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, -1}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
402,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 3, 4}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
403,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 3, 4}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
404,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -6, -3}",3,5,7,4,7,5,4,0.05555555555555555,0.16666666666666666
405,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -6, -3}",3,5,7,4,7,5,4,0.05555555555555555,0.16666666666666666
406,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 2, 5}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
407,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 5, -1}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
408,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5, 6}",3,7,7,1,7,7,1,0.15596416233653357,0.4678924870096007
409,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{5, -1, 6}",3,7,7,1,7,6,1,0.143609027817842,0.430827083453526
410,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -6, -3}",3,6,7,2,7,3,2,0.05555555555555555,0.16666666666666666
411,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, -3, -1}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
412,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -3, 5}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
413,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 6}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
414,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, -1, 6}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
415,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 5, 6}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
416,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 4, -3}",3,4,7,2,7,2,2,0.0,0.0
417,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 4, 6}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
418,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 5, 6}",3,7,7,1,7,5,1,0.12899600527152014,0.3869880158145604
419,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-5, -4, 7}",3,6,7,2,7,3,2,0.05555555555555555,0.16666666666666666
420,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, -3, 6}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
421,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4, 5}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
422,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, -1}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
423,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 4, 5}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
424,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 4, 5}",3,7,7,1,7,3,1,0.08805347226228645,0.26416041678685936
425,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5, 6}",3,7,7,1,7,4,1,0.1111111111111111,0.3333333333333333
426,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 7}",2,6,7,2,7,3,2,0.08333333333333333,0.16666666666666666
427,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 7}",2,6,7,2,7,3,2,0.08333333333333333,0.16666666666666666
428,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, -3}",2,3,7,3,7,3,3,0.0,0.0
429,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, -5}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
430,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, 4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
431,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-5, 4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
432,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-5, -4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
433,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -5}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
434,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
435,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -5}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
436,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
437,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-5, 7}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
438,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 7}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
439,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -5}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
440,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -4}",2,7,7,1,7,3,1,0.13208020839342968,0.26416041678685936
441,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, 7}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
442,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 7}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
443,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{3, -5}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
444,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{3, -4}",2,7,7,1,7,3,1,0.13208020839342968,0.26416041678685936
445,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{3, 7}",2,6,7,2,7,3,2,0.08333333333333333,0.16666666666666666
446,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-4, 7}",2,6,7,2,7,3,2,0.08333333333333333,0.16666666666666666
447,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-5, -3}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
448,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-4, -3}",2,6,7,2,7,3,2,0.08333333333333333,0.16666666666666666
449,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 2}",2,3,7,3,7,5,3,0.13208020839342968,0.26416041678685936
450,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -7}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
451,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 2}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
452,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -1}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
453,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -1}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
454,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 3}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
455,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 3}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
456,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -3}",2,2,7,5,7,5,5,0.0,0.0
457,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -3}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
458,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, -1}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
459,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 6}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
460,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-1, 6}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
461,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -3}",2,3,7,3,7,3,3,0.0,0.0
462,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, -4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
463,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 6}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
464,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 6}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
465,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, -6}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
466,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, -6}",2,4,7,6,7,7,6,0.08333333333333333,0.16666666666666666
467,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 5}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
468,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{5, -1}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
469,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, -6}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
470,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{2, 4}",2,2,7,4,7,4,4,0.0,0.0
471,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{1, 4}",2,5,7,3,7,4,3,0.08333333333333333,0.16666666666666666
472,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, 3}",2,6,7,2,7,5,2,0.16666666666666666,0.3333333333333333
473,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 5}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
474,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, -1}",2,7,7,1,7,4,1,0.16666666666666666,0.3333333333333333
475,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-7, 4}",2,4,7,2,7,3,2,0.08333333333333333,0.16666666666666666
476,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{3, 4}",2,7,7,1,7,3,1,0.13208020839342968,0.26416041678685936
477,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-6, -3}",2,5,7,4,7,5,4,0.08333333333333333,0.16666666666666666
478,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{-3, 5}",2,7,7,1,7,5,1,0.1934940079072802,0.3869880158145604
479,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{5, 6}",2,7,7,1,7,7,1,0.23394624350480034,0.4678924870096007
480,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 6}",2,7,7,1,7,4,1,0.16666666666666666,0.3333333333333333
481,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]","{4, 5}",2,7,7,1,7,4,1,0.16666666666666666,0.3333333333333333
482,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-3},1,2,7,5,7,5,5,0.0,0.0
483,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{2},1,1,7,7,7,7,7,0.0,0.0
484,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{6},1,7,7,1,7,7,1,0.4678924870096007,0.4678924870096007
485,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-1},1,7,7,1,7,7,1,0.4678924870096007,0.4678924870096007
486,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{7},1,5,7,4,7,5,4,0.16666666666666666,0.16666666666666666
487,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-7},1,3,7,3,7,5,3,0.26416041678685936,0.26416041678685936
488,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-6},1,4,7,6,7,7,6,0.16666666666666666,0.16666666666666666
489,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-5},1,4,7,6,7,7,6,0.16666666666666666,0.16666666666666666
490,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{-4},1,5,7,3,7,4,3,0.16666666666666666,0.16666666666666666
491,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{4},1,2,7,4,7,4,4,0.0,0.0
492,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{1},1,4,7,6,7,7,6,0.16666666666666666,0.16666666666666666
493,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{5},1,7,7,1,7,7,1,0.4678924870096007,0.4678924870096007
494,"[[1, -5], [-6, 1], [7, -2, 5], [-3, -4, -6], [6, -1, -7], [6, 5], [-7, -3], [-2, 7]]",{3},1,6,7,2,7,5,2,0.3333333333333333,0.3333333333333333
495,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 6, 7, -5, -4, -3, -1}",7,7,7,1,46,1,1,0.0,0.0
496,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 6, 7, -5, -4, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
497,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{6, 7, -1, -5, -4, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
498,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 4, 6, 7, -5, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
499,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{4, 6, 7, -1, -5, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
500,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{4, 5, 6, 7, -1, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
501,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 7, -6, -5, -4, -1}",7,7,7,1,46,1,1,0.0,0.0
502,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 4, 7, -6, -5, -1}",7,7,7,1,46,1,1,0.0,0.0
503,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, 7, -6, -5, -4, -2}",7,7,7,1,46,1,1,0.0,0.0
504,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{3, 7, -1, -6, -5, -4, -2}",7,7,7,1,46,1,1,0.0,0.0
505,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, 4, 7, -6, -5, -2}",7,7,7,1,46,1,1,0.0,0.0
506,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{3, 4, 7, -1, -6, -5, -2}",7,7,7,1,46,1,1,0.0,0.0
507,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, -7, -6, -5, -4, -1}",7,7,7,1,46,1,1,0.0,0.0
508,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 4, -7, -6, -5, -1}",7,7,7,1,46,1,1,0.0,0.0
509,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, -7, -6, -5, -4, -2}",7,7,7,1,46,1,1,0.0,0.0
510,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{3, -1, -7, -6, -5, -4, -2}",7,7,7,1,46,1,1,0.0,0.0
511,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, 4, -7, -6, -5, -2}",7,7,7,1,46,1,1,0.0,0.0
512,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{3, 4, -1, -7, -6, -5, -2}",7,7,7,1,46,1,1,0.0,0.0
513,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 4, 5, 7, -6, -1}",7,7,7,1,46,1,1,0.0,0.0
514,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{3, 4, 5, 7, -1, -6, -2}",7,7,7,1,46,1,1,0.0,0.0
515,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 5, -7, -6, -4, -1}",7,7,7,1,46,1,1,0.0,0.0
516,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 7, -6, -5, -4, -3, -1}",7,7,7,1,46,1,1,0.0,0.0
517,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 3, 4, 5, -7, -6, -1}",7,7,7,1,46,1,1,0.0,0.0
518,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, 5, -7, -6, -4, -2}",7,7,7,1,46,1,1,0.0,0.0
519,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 7, -6, -5, -4, -3, -2}",7,7,7,1,46,1,1,0.0,0.0
520,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{2, 4, 7, -6, -5, -3, -1}",7,7,7,1,46,1,1,0.0,0.0
521,"[[2, 6, -4], [1, -2], [3, -6], [5, 7, 4], [6, 7], [1, 7, -5]]","{1, 3, 4, 5, -7, -6, -2}",7,7,7,1,46,1,1,0.0,0.0
