Model,GO efficiency (result perspective),GO efficiency (process perspective),GO reachability
LinearGlobalRE,0.7297191343519309,0.7297852409888754,0.3256125986330494
LinearLocalRE,0.4453003327167042,0.5400527731668965,0.140853249775342
QuadraticGlobalRE,0.7633465296073095,0.7516807994839354,0.4894195224074426
QuadraticLocalRE,0.329911978355626,0.34570375083088506,0.2736323134857583
