Model,Number of fixed points with consistent commitments,Number of fixed points,Relative share of fixed points with consistent commitments
QuadraticGlobalRE,30305,41726,0.7262857690648516
LinearGlobalRE,23821,32210,0.7395529338714685
QuadraticLocalRE,38742,55659,0.6960599363984261
LinearLocalRE,18996,22977,0.8267397832615224
