Model,Relative share of full RE fixed points,Standard deviation,Number of full RE fixed points,Number of fixed points
QuadraticGlobalRE,0.08827068703936317,0.0003805475860046958,46644,528616
LinearGlobalRE,0.23476508936045135,0.000748878114832049,73492,313002
QuadraticLocalRE,0.08134805823926676,0.00017707899114828045,162044,1991852
LinearLocalRE,0.4787162558313899,0.00043102246697603573,623825,1303077
