Model,Relative share of consistency eliminating cases,Relative share of consistency preserving cases,Standard deviation CP cases,Standard deviation CE cases,Number of fixed points from consistent initial commitments,Relative share of inconsistency preserving cases,Standard deviation IP cases,Relative share of inconsistency eliminating cases,Standard deviation IE cases,Number of fixed points from inconsistent initial commitments
QuadraticGlobalRE,0.04080676233576288,0.959193237664237,0.0003975334837066857,0.00039753348370668315,246823,0.5425206673165376,0.0011071808625466612,0.45747933268346236,0.0011071808625466625,211324
LinearGlobalRE,0.01618799794017023,0.9838120020598299,0.000301527853327482,0.0003015278533274784,168946,0.5773517419022922,0.0013464527684715994,0.42264825809770784,0.0013464527684715966,143837
QuadraticLocalRE,0.044704130005386956,0.9552958699946131,0.0003998454771034275,0.00039984547710342525,278450,0.5515307502598569,0.0008678314864647708,0.4484692497401431,0.0008678314864647704,309786
LinearLocalRE,0.014079417623623157,0.9859205823763769,0.00035596716194438146,0.0003559671619443815,119476,0.36142310807576905,0.001496143811025207,0.6385768919242311,0.0014961438110252076,108646
