Model,Number of fixed points,Relative share of inconsistency eliminating cases,Standard deviation IE cases,Relative share of consistency preserving cases,Standard deviation CP cases,Relative share of inconsistency preserving cases,Standard deviation IP cases,Relative share of consistency eliminating cases,Standard deviation CE cases
QuadraticGlobalRE,458147,0.21101627861799815,0.0006351424886926711,0.5167513210825346,0.0007519949341327964,0.25023632698675313,0.0006524405572426441,0.021996073312714044,0.00022401039019194133
LinearGlobalRE,312783,0.19434743895927847,0.0007025804730320185,0.5314313677533626,0.0008769247015534093,0.26548708689410866,0.0008093167257681207,0.008734106393250271,0.00016908356183965276
QuadraticLocalRE,588236,0.2362510879986944,0.0005616784603791258,0.4521787853854575,0.0006383367186204033,0.2903907445311066,0.0006014693264505537,0.021179382084741495,0.0001859360379359996
LinearLocalRE,228122,0.30411319381734336,0.0009661181604191592,0.5163000609323082,0.0010746270537387553,0.17221280718212184,0.000813186486948672,0.007373938068226651,0.0001820122161870956
