Model,Number of full RE fixed points,Number of fixed points,Relative share of full RE fixed points
QuadraticGlobalRE,4699,48105,0.09768215362228459
LinearGlobalRE,7418,32218,0.23024396300204855
QuadraticLocalRE,12644,157034,0.08051759491575072
LinearLocalRE,55638,112049,0.49655061624824853
