Model,Relative share of full RE states among global optima,Relative share of full RE states among fixed_points
LinearGlobalRE,0.33499934452018876,0.24277116895983203
LinearLocalRE,0.33499934452018876,0.4792817764353421
QuadraticGlobalRE,0.14681853185831248,0.11481244755710784
QuadraticLocalRE,0.18159162751733468,0.15407429258210273
