Model,Relative share of trivial fixed points,Standard deviation FP,Number of trivial fixed points,Number of fixed points
QuadraticGlobalRE,0.00807144322673727,0.00012896014499008847,3698,458147
LinearGlobalRE,0.08026428066742758,0.0004989965758166788,25111,312783
QuadraticLocalRE,0.008832734650718418,0.00012020585073872754,5189,588236
LinearLocalRE,0.06334887691673755,0.0004870051959764399,14443,228122
