Model,Relative share of consistency eliminating cases,Relative share of consistency preserving cases,Standard deviation CP cases,Standard deviation CE cases,Number of global optima from consistent initial commitments,Relative share of inconsistency preserving cases,Standard deviation IP cases,Relative share of inconsistency eliminating cases,Standard deviation IE cases,Number of global optima from inconsistent initial commitments
QuadraticGlobalRE,0.05320007329118875,0.9467999267088112,0.00036235025433923636,0.00036235025433923684,386131,0.5013641068889612,0.000845627547280176,0.49863589311103873,0.0008456275472801765,328453
LinearGlobalRE,0.023503061731495842,0.9764969382685041,0.00022647237834529208,0.00022647237834529105,366296,0.45337461214704633,0.0008884081132691122,0.5466253878529537,0.0008884081132691131,334534
QuadraticLocalRE,0.052501195270884767,0.9474988047291153,0.0003715847733036714,0.00037158477330367186,384850,0.5041731958858214,0.0009418117958982086,0.4958268041141786,0.0009418117958982068,324439
LinearLocalRE,0.023341123691461532,0.9766588763085383,0.00024618408187123563,0.00024618408187123916,372362,0.45272899258460597,0.0008404717388354234,0.547271007415394,0.0008404717388354224,348734
