Model,Number of global optima,Relative share of inconsistency eliminating cases,Standard deviation IE cases,Relative share of consistency preserving cases,Standard deviation CP cases,Relative share of inconsistency preserving cases,Standard deviation IP cases,Relative share of consistency eliminating cases,Standard deviation CE cases
QuadraticGlobalRE,714584,0.22921491735051439,0.00043834956343541604,0.5115519309136505,0.0005809746377567753,0.23049872023443008,0.0004931118686398837,0.028734431501405013,0.00020032754465868183
LinearGlobalRE,700830,0.26095568468815544,0.0005252287374846621,0.5103416342051567,0.0005856514899307869,0.21641599603327485,0.0005133932646012908,0.012286685073412953,0.00012762708596736303
QuadraticLocalRE,709289,0.22681339693693264,0.0005045689009072646,0.5140087150653683,0.0006377975081939391,0.23066070388797796,0.000503557535336704,0.02851718410972114,0.00019627505685369343
LinearLocalRE,721096,0.26473337461308893,0.0005121895220922016,0.5042897270266372,0.0005744943297655261,0.21891527272374273,0.0005066180687351526,0.01206162563653106,0.00013172904196105946
