Model,Relative share of full RE states among global optima,Relative share of full RE states among fixed_points
LinearGlobalRE,0.33499934452018876,0.24891088043887485
LinearLocalRE,0.33499934452018876,0.22433657038719823
QuadraticGlobalRE,0.14681853185831248,0.11740896092151935
QuadraticLocalRE,0.18159162751733468,0.09771852494359906
