Model,Number of global optima with a consistent union,Number of global optima with consistent commitments,Relative share of global optima with a consistent union
QuadraticGlobalRE,42633,46832,0.9103390843867442
LinearGlobalRE,43723,45762,0.9554433809711114
QuadraticLocalRE,22350,24211,0.9231341125934492
LinearLocalRE,43723,45762,0.9554433809711114
