Model,Relative share of global optima with maximal account,Standard deviation account,Number of global optima with maximal account,Number of global optima,Relative share of global optima with maximal systematicity,Standard deviation systematicity,Number of global optima with maximal systematicity,Relative share of global optima with maximal faithfulness,Standard deviation faithfulness,Number of global optima with maximal faithfulness
QuadraticGlobalRE,0.11519742955341847,0.0003800087199762886,82318,714584,0.7269542069231889,0.0005394158778213212,519496,0.11494148343651692,0.00040527012038506883,82133
LinearGlobalRE,0.27477294422327814,0.0005241956581236862,192559,700830,0.8751003346032562,0.0003963717123977091,613282,0.28764899476335204,0.0005625094901655149,201631
QuadraticLocalRE,0.11526243886483506,0.00036927034825850346,81750,709289,0.7289279193671409,0.0005428115550983836,517054,0.11566487003182062,0.0004074360581221474,82043
LinearLocalRE,0.25499003253380964,0.000486887001266193,183875,721096,0.8800790498075152,0.000366232032738269,634625,0.2793606433817411,0.000514560926208456,201469
