Model,Relative share of inconsistency eliminating cases among global optima,Relative share of consistency preserving cases among global optima,Relative share of inconsistency preserving cases among global optima,Relative share of consistency eliminating cases among global optima
QuadraticGlobalRE,0.2044210952967403,0.5256520180211077,0.23901351583082608,0.03091337085132586
LinearGlobalRE,0.23386545230112263,0.529483394218419,0.22120469065372234,0.01544646282673606
QuadraticLocalRE,0.19539285496926542,0.5413547562534234,0.23355243137970907,0.029699957397602093
LinearLocalRE,0.23386545230112263,0.529483394218419,0.22120469065372234,0.01544646282673606
