Model,Relative share of inconsistency eliminating cases among fixed points,Relative share of consistency preserving cases among fixed points,Relative share of inconsistency preserving cases among fixed points,Relative share of consistency eliminating cases among fixed points
QuadraticGlobalRE,0.22926661319369826,0.479141758857091,0.2698404891263223,0.021751138822888448
LinearGlobalRE,0.19429268822563434,0.5312521964715881,0.2656915930249647,0.008763522277812921
QuadraticLocalRE,0.3006448270253011,0.4339132626319626,0.239338063269761,0.026103847072975302
LinearLocalRE,0.482567031725677,0.4695578235207896,0.04489911187136294,0.002976032882170432
